candidate_webname,state_postal,cd,cand_party,year,web_score,FECCandID,bioguide_id
Jimmy Crumpacker,OR,5,Republican,2022,NA,H0OR02168,NA
John Di Paola,OR,5,Republican,2022,-0.066618716,H2OR05217,NA
Kurt Schrader,OR,5,Democrat,2022,-0.641461005,H8OR05107,NA
Laurel L Roses,OR,5,Republican,2022,0.550080474,H2OR05233,NA
Lori Chavez-DeRemer,OR,5,Republican,2022,1.099414386,H2OR05209,C001135
Madison Oatman,OR,5,Republican,2022,1.174356489,H2OR05225,NA
Amy L Ryan Courser,OR,6,Republican,2022,1.573946958,H0OR05104,NA
Andrea Salinas,OR,6,Democrat,2022,-1.006793326,H2OR06066,S001226
Angela Plowhead,OR,6,Republican,2022,0.967062301,H2OR06033,NA
Carrick Flynn,OR,6,Democrat,2022,-0.570010927,H2OR06090,NA
Cody Reynolds,OR,6,Democrat,2022,-1.057971691,H2OR01216,NA
David Russ,OR,6,Republican,2022,0.314282724,H2OR01240,NA
Greg Goodwin,OR,6,Democrat,2022,NA,NA,NA
Jim Bunn,OR,6,Republican,2022,0.745247153,H2OR06116,NA
Kathleen Harder,OR,6,Democrat,2022,-0.774253439,H2OR06074,NA
Loretta Smith,OR,6,Democrat,2022,-1.024280747,H2OR06017,NA
Matt West,OR,6,Democrat,2022,-0.883381086,H2OR06041,NA
Mike Erickson,OR,6,Republican,2022,1.077514985,H2OR06124,NA
Nathan A Sandvig,OR,6,Republican,2022,0.847320427,H2OR05183,NA
Ricky Barajas,OR,6,Democrat,2022,-1.010838265,H0OR01152,NA
Ron Noble,OR,6,Republican,2022,1.093600762,H2OR06058,NA
Teresa Alonso Leon,OR,6,Democrat,2022,-1.007820999,H2OR06108,NA
Steve Bacher,PA,1,Democrat,2018,-0.877150971,H8PA08166,NA
Brian Fitzpatrick,PA,1,Republican,2018,0.664783167,H6PA08277,F000466
Dean Malik,PA,1,Republican,2018,0.729847861,H8PA01286,NA
Rachel Reddick,PA,1,Democrat,2018,-0.812289134,H8PA08141,NA
Scott Wallace,PA,1,Democrat,2018,-0.704876569,H8PA08174,NA
Christina Finello,PA,1,Democrat,2020,-0.962966388,H0PA01325,NA
Brian Fitzpatrick,PA,1,Republican,2020,0.600685457,H6PA08277,F000466
Skylar Hurwitz,PA,1,Democrat,2020,-1.134294693,H0PA01333,NA
Andrew Meehan,PA,1,Republican,2020,0.133182343,H0PA01317,NA
Alex Entin,PA,1,Republican,2022,0.770509152,H2PA01149,NA
Ashley Ehasz,PA,1,Democrat,2022,-1.01513602,H2PA01099,NA
Brian Fitzpatrick,PA,1,Republican,2022,-0.24303801,H6PA08277,F000466
Shavonnia Corbin-Johnson,PA,10,Democrat,2018,-0.673554859,H8PA04108,NA
Eric Ding,PA,10,Democrat,2018,-0.963733962,H8PA10204,NA
Alan Howe,PA,10,Democrat,2018,NA,H8PA11053,NA
Scott Perry,PA,10,Republican,2018,1.168315848,H2PA04135,P000605
George Scott,PA,10,Democrat,2018,-0.718274047,H8PA04090,NA
Thomas F. Brier,PA,10,Democrat,2020,-0.989534713,H0PA10102,NA
Eugene DePasquale,PA,10,Democrat,2020,-0.68702797,H0PA10110,NA
Scott Perry,PA,10,Republican,2020,0.975429859,H2PA04135,P000605
Richard Chase Coplen,PA,10,Democrat,2022,-0.705115092,H2PA10116,NA
Scott Perry,PA,10,Republican,2022,1.03603141,H2PA04135,P000605
Shamaine Andrea Daniels,PA,10,Democrat,2022,-0.686707263,H2PA10124,NA
Chester Beiler,PA,11,Republican,2018,1.213321101,H8PA11111,NA
Jessica King,PA,11,Democrat,2018,-1.0539676,H8PA16078,NA
Lloyd K. Smucker,PA,11,Republican,2018,0.88235388,H6PA16320,S001199
Paul Richard Daigle,PA,11,Democrat,2020,-0.490842666,H0PA11191,NA
Sarah Hammond,PA,11,Democrat,2020,-1.347662515,H0PA11183,NA
Lloyd K. Smucker,PA,11,Republican,2020,0.827187141,H6PA16320,S001199
Lloyd K. Smucker,PA,11,Republican,2022,0.348292365,H6PA16320,S001199
Robert M Hollister Ii,PA,11,Democrat,2022,-0.661435932,H2PA11114,NA
Marc Friedenberg,PA,12,Democrat,2018,-0.80728915,H8PA05204,NA
Judy Herschel,PA,12,Democrat,2018,-1.077888906,H8PA10170,NA
Tom Marino,PA,12,Republican,2018,1.421218703,H0PA10078,NA
Doug McLinko,PA,12,Republican,2018,0.765935594,H8PA10188,NA
Lee Griffin,PA,12,Democrat,2020,NA,H0PA12199,NA
Fred Keller,PA,12,Republican,2020,0.381329946,H0PA12181,K000395
Gerald Dickinson,PA,12,Democrat,2022,-1.375786894,H0PA18097,NA
Jeffrey D Woodard,PA,12,Democrat,2022,-0.587334975,NA,NA
Michael J Doyle,PA,12,Republican,2022,NA,H2PA12070,NA
Steven Dane Irwin,PA,12,Democrat,2022,-1.142282083,H2PA18218,NA
Summer Lee,PA,12,Democrat,2022,-1.43464541,H2PA18200,L000602
William Parker,PA,12,Democrat,2022,-1.252518409,NA,NA
Stephen Bloom,PA,13,Republican,2018,NA,H8PA11061,NA
John Eichelberger,PA,13,Republican,2018,NA,H8PA09024,NA
Art Halvorson,PA,13,Republican,2018,0.965292784,H4PA09056,NA
Benjamin Hornberger,PA,13,Republican,2018,NA,H0PA09039,NA
John Joyce,PA,13,Republican,2018,0.952878441,H8PA13125,J000302
Doug Mastriano,PA,13,Republican,2018,1.088370743,H8PA09057,NA
Brent Ottaway,PA,13,Democrat,2018,-0.198183597,H8PA13133,NA
Travis Schooley,PA,13,Republican,2018,NA,H2PA09092,NA
Bernard Washabaugh,PA,13,Republican,2018,1.243939133,H8PA13141,NA
John Joyce,PA,13,Republican,2020,0.975720175,H8PA13125,J000302
Todd Rowley,PA,13,Democrat,2020,-0.555502858,H0PA13114,NA
John Joyce,PA,13,Republican,2022,0.552354453,H8PA13125,J000302
Bibiana Boerio,PA,14,Democrat,2018,-0.976023018,H8PA14065,NA
Tom Prigg,PA,14,Democrat,2018,NA,H8PA12069,NA
Guy Reschenthaler,PA,14,Republican,2018,0.908980038,H8PA18199,R000610
Rick Saccone,PA,14,Republican,2018,1.267288639,H8PA18231,NA
Adam Sedlock,PA,14,Democrat,2018,-0.625615445,H2PA09100,NA
Robert Solomon,PA,14,Democrat,2018,-0.671359127,H8PA18157,NA
William A. Marx,PA,14,Democrat,2020,NA,H0PA14138,NA
Guy Reschenthaler,PA,14,Republican,2020,0.971579661,H8PA18199,R000610
Guy Reschenthaler,PA,14,Republican,2022,0.996996796,H8PA18199,R000610
Susan Boser,PA,15,Democrat,2018,-1.098342191,H8PA09065,NA
Wade Jodun,PA,15,Democrat,2018,NA,H8PA05212,NA
Glenn William Thompson Jr,PA,15,Republican,2018,0.332148956,H8PA05071,T000467
Glenn William Thompson Jr,PA,15,Republican,2020,0.353631398,H8PA05071,T000467
Robert Williams,PA,15,Democrat,2020,-0.560195591,H0PA15127,NA
Glenn William Thompson Jr,PA,15,Republican,2022,0.035000813,H8PA05071,T000467
Mike Molesevich,PA,15,Democrat,2022,NA,H2PA15131,NA
Ronald DiNicola,PA,16,Democrat,2018,-0.760599972,H4PA21069,NA
Mike Kelly,PA,16,Republican,2018,0.702733241,H0PA03271,K000376
Robert Multari,PA,16,Democrat,2018,-0.599993889,H8PA16086,NA
Chris Rieger,PA,16,Democrat,2018,-0.47627335,H8PA03126,NA
Kristy Gnibus,PA,16,Democrat,2020,-1.40693955,H0PA16034,NA
Mike Kelly,PA,16,Republican,2020,0.666109916,H0PA03271,K000376
Daniel Pastore,PA,16,Democrat,2022,-0.773656603,H2PA16097,NA
Mike Kelly,PA,16,Republican,2022,0.831432082,H0PA03271,K000376
Richard E Telesz,PA,16,Democrat,2022,-0.57403887,H2PA16089,NA
Conor Lamb,PA,17,Democrat,2018,-0.591865584,H8PA18181,L000588
Keith Rothfus,PA,17,Republican,2018,0.609905556,H0PA04220,NA
Conor Lamb,PA,17,Democrat,2020,-0.598087004,H8PA18181,L000588
Sean Richard Parnell,PA,17,Republican,2020,NA,H0PA17115,NA
Christopher Deluzio,PA,17,Democrat,2022,-0.467807088,H2PA17103,D000530
Jason Killmeyer,PA,17,Republican,2022,NA,H2PA17152,NA
Jeremy Kevin Shaffer,PA,17,Republican,2022,1.3330024,H2PA17160,NA
Kathleen Ann Coder,PA,17,Republican,2022,0.538472019,H2PA17186,NA
Sean Michael Meloy,PA,17,Democrat,2022,-0.924829151,H2PA17137,NA
Janis Brooks,PA,18,Democrat,2018,-0.416818249,H2PA14092,NA
Mike Doyle,PA,18,Democrat,2018,-0.110539669,H4PA18131,D000482
Gerald Dickinson,PA,18,Democrat,2020,-1.196846639,H0PA18097,NA
Mike Doyle,PA,18,Democrat,2020,-0.620251948,H4PA18131,D000482
Luke Negron,PA,18,Republican,2020,0.372186452,H0PA18113,NA
Brendan F Boyle,PA,2,Democrat,2018,NA,H4PA13199,B001296
Michele Lawrence,PA,2,Democrat,2018,NA,H8PA01245,NA
David Torres,PA,2,Republican,2018,NA,H8PA02110,NA
Brendan F Boyle,PA,2,Democrat,2020,NA,H4PA13199,B001296
David Torres,PA,2,Republican,2020,NA,H8PA02110,NA
Aaron Bashir,PA,2,Republican,2022,0.180703426,H2PA02170,NA
Brendan F Boyle,PA,2,Democrat,2022,NA,H4PA13199,B001296
Dwight Evans,PA,3,Democrat,2018,-0.654570328,H6PA02171,E000296
Kevin Johnson,PA,3,Democrat,2018,-0.958078019,H8PA01260,NA
Bryan Leib,PA,3,Republican,2018,0.172881825,H6PA01165,NA
Dwight Evans,PA,3,Democrat,2020,-0.571518691,H6PA02171,E000296
Michael Harvey,PA,3,Republican,2020,NA,H0PA03347,NA
Alexandra Marguerite Hunt,PA,3,Democrat,2022,-1.01803838,H2PA03129,NA
Dwight Evans,PA,3,Democrat,2022,-0.590354758,H6PA02171,E000296
Michael S Cogbill,PA,3,Democrat,2022,-1.047825658,H2PA03145,NA
Dan David,PA,4,Republican,2018,NA,H8PA15286,NA
Madeleine Dean,PA,4,Democrat,2018,-1.141138891,H8PA04116,D000631
Shira Goodman,PA,4,Democrat,2018,-0.683736918,H8PA13117,NA
Joe Hoeffel,PA,4,Democrat,2018,-0.693490734,H8PA04132,NA
Kathy Barnette,PA,4,Republican,2020,NA,H0PA04279,NA
Madeleine Dean,PA,4,Democrat,2020,-1.008359664,H8PA04116,D000631
Daniel L. Burton Jr.,PA,4,Republican,2022,1.474513633,NA,NA
Madeleine Dean,PA,4,Democrat,2022,-1.038197709,H8PA04116,D000631
Sergio Christian Nascimento,PA,4,Republican,2022,0.321935188,H2PA04226,NA
Larry Arata,PA,5,Democrat,2018,-1.048265448,H8PA05261,NA
Margo Davidson,PA,5,Democrat,2018,NA,H8PA05287,NA
Pearl Kim,PA,5,Republican,2018,-0.170841495,H8PA05295,NA
Thaddeus Kirkland,PA,5,Democrat,2018,-0.32670073,H8PA05279,NA
Richard Lazer,PA,5,Democrat,2018,-1.178127864,H8PA01278,NA
Lindy Li,PA,5,Democrat,2018,-1.127764045,H6PA07113,NA
Ashley Lunkenheimer,PA,5,Democrat,2018,-0.742232279,H8PA07184,NA
Mary Gay Scanlon,PA,5,Democrat,2018,-1.018262795,H8PA07200,S001205
Molly Sheehan,PA,5,Democrat,2018,-0.84146784,H8PA07119,NA
Gregoy Vitali,PA,5,Democrat,2018,NA,H8PA07176,NA
Theresa Wright,PA,5,Democrat,2018,-1.082738761,H8PA07259,NA
Robert Jordan,PA,5,Republican,2020,NA,H0PA05102,NA
Dasha Pruett,PA,5,Republican,2020,0.854839458,H0PA05094,NA
Mary Gay Scanlon,PA,5,Democrat,2020,NA,H8PA07200,S001205
David Lewczyk Galluch,PA,5,Republican,2022,0.635945354,H2PA05074,NA
Mary Gay Scanlon,PA,5,Democrat,2022,NA,H8PA07200,S001205
Chrissy Houlahan,PA,6,Democrat,2018,-0.634492849,H8PA06087,H001085
Greg McCauley,PA,6,Republican,2018,-0.059499004,H8PA07192,NA
John Emmons,PA,6,Republican,2020,1.019691908,H0PA06167,NA
Chrissy Houlahan,PA,6,Democrat,2020,-0.831025137,H8PA06087,H001085
Chrissy Houlahan,PA,6,Democrat,2022,-0.722311009,H8PA06087,H001085
Guy Louis Ciarrocchi,PA,6,Republican,2022,NA,H2PA06197,NA
Regina Mauro,PA,6,Republican,2022,NA,H2PA06189,NA
Ronald Christopher Vogel,PA,6,Republican,2022,0.335633368,H2PA06171,NA
Stephen A Fanelli,PA,6,Republican,2022,1.228812804,H2PA06163,NA
Dean Browning,PA,7,Republican,2018,1.07702603,H8PA15260,NA
David Clark,PA,7,Democrat,2018,0.015344057,H8PA07267,NA
Rick Daugherty,PA,7,Democrat,2018,-0.477984564,H2PA15099,NA
Greg Edwards,PA,7,Democrat,2018,-1.399611813,H8PA15187,NA
John Morganelli,PA,7,Democrat,2018,NA,H8PA15278,NA
Marty Nothstein,PA,7,Republican,2018,1.041721615,H8PA15245,NA
Roger Ruggles,PA,7,Democrat,2018,-0.741724369,H8PA07242,NA
Susan Wild,PA,7,Democrat,2018,-0.78590193,H8PA15229,W000826
Dean Browning,PA,7,Republican,2020,1.104596958,H8PA15260,NA
Lisa Jane Scheller,PA,7,Republican,2020,NA,H0PA07132,NA
Susan Wild,PA,7,Democrat,2020,NA,H8PA15229,W000826
Kevin Willard Dellicker,PA,7,Republican,2022,0.7903669,H2PA07096,NA
Lisa Jane Scheller,PA,7,Republican,2022,1.649753365,H0PA07132,NA
Susan Wild,PA,7,Democrat,2022,-0.986050153,H8PA15229,W000826
Matthew A Cartwright,PA,8,Democrat,2018,-0.220889409,H2PA17079,C001090
John Chrin,PA,8,Republican,2018,0.676897637,H8PA17050,NA
Robert Kuniegel,PA,8,Republican,2018,0.099204872,H8PA17068,NA
Joe Peters,PA,8,Republican,2018,0.711326484,H8PA11103,NA
James Rocco Bognet,PA,8,Republican,2020,0.642470936,H0PA08221,NA
Mike Cammisa,PA,8,Republican,2020,0.189080702,H0PA08239,NA
Matthew A Cartwright,PA,8,Democrat,2020,-0.171725344,H2PA17079,C001090
Teddy V Daniels,PA,8,Republican,2020,1.474784916,H0PA08197,NA
Earl Granville,PA,8,Republican,2020,NA,H0PA08205,NA
Harry Haas IV,PA,8,Republican,2020,NA,H0PA08189,NA
Michael Paul Marsicano,PA,8,Republican,2020,0.686552651,H0PA08213,NA
James Rocco Bognet,PA,8,Republican,2022,1.083431462,H0PA08221,NA
Matthew A Cartwright,PA,8,Democrat,2022,-0.835015238,H2PA17079,C001090
Michael Paul Marsicano,PA,8,Republican,2022,1.739520535,H6PA11073,NA
George Halcovage,PA,9,Republican,2018,1.393753425,H8PA09073,NA
Daniel P Meuser,PA,9,Republican,2018,0.415659512,H8PA10147,M001204
Laura Quick,PA,9,Democrat,2018,-0.644518597,H8PA09081,NA
Scott Uehlinger,PA,9,Republican,2018,0.603857048,H8PA15237,NA
Gary Wegman,PA,9,Democrat,2018,-0.542362,H6PA16338,NA
Denny Wolff,PA,9,Democrat,2018,-0.828437993,H8PA11095,NA
Daniel P Meuser,PA,9,Republican,2020,-0.15692664,H8PA10147,M001204
Laura Quick,PA,9,Democrat,2020,-0.772213561,H8PA09081,NA
Gary Wegman,PA,9,Democrat,2020,-0.371789174,H6PA16338,NA
Amanda R Waldman,PA,9,Democrat,2022,-0.923241566,H2PA09126,NA
Daniel P Meuser,PA,9,Republican,2022,-0.212022472,H8PA10147,M001204
David Cicilline,RI,1,Democrat,2018,-0.669933227,H0RI01073,C001084
Patrick Donovan,RI,1,Republican,2018,NA,H8RI01100,NA
Frederick Wysocki,RI,1,Republican,2018,NA,H8RI01092,NA
Christopher Young,RI,1,Democrat,2018,NA,NA,NA
David Cicilline,RI,1,Democrat,2020,-0.684917772,H0RI01073,C001084
Allen Waters,RI,1,Republican,2022,0.495068313,H2RI01202,NA
David Cicilline,RI,1,Democrat,2022,-0.786061568,H0RI01073,C001084
Salvatore Caiozzo,RI,2,Republican,2018,NA,H6RI02284,NA
James Langevin,RI,2,Democrat,2018,-0.735187423,H0RI02139,L000559
Dylan Conley,RI,2,Democrat,2020,-0.979834283,H0RI02295,NA
Bob Lancia,RI,2,Republican,2020,-0.17695072,H0RI02287,NA
James Langevin,RI,2,Democrat,2020,-0.776042121,H0RI02139,L000559
Donald F. Robbio,RI,2,Republican,2020,NA,H0RI02246,NA
Allan Fung,RI,2,Republican,2022,0.136580046,H2RI02226,NA
David Segal,RI,2,Democrat,2022,-0.879496618,H2RI02234,NA
Joy Fox,RI,2,Democrat,2022,-1.409724988,H2RI02176,NA
Omar Bah,RI,2,Democrat,2022,-0.946542792,H2RI02218,NA
Sarah Morgenthau,RI,2,Democrat,2022,NA,H2RI02242,NA
Seth Magaziner,RI,2,Democrat,2022,-0.55488738,H2RI02184,M001223
Spencer Dickinson,RI,2,Democrat,2022,NA,H2RI02069,NA
Katie Arrington,SC,1,Republican,2018,0.977838698,H8SC01124,NA
Dimitri Cherny,SC,1,Republican,2018,-0.376988667,H4SC01271,NA
Joe Cunningham,SC,1,Democrat,2018,-1.031405754,H8SC01116,C001122
Mark Sanford,SC,1,Republican,2018,0.827529458,H4SC01073,NA
Toby Smith,SC,1,Democrat,2018,NA,H8SC01132,NA
Chris Cox,SC,1,Republican,2020,1.343804155,H0SC01402,NA
Joe Cunningham,SC,1,Democrat,2020,-0.606004626,H8SC01116,NA
Kathy Landing,SC,1,Republican,2020,0.688366497,H0SC01386,NA
Nancy Mace,SC,1,Republican,2020,0.683891162,H0SC01394,M000194
Brad Mole,SC,1,Republican,2020,NA,H0SC01428,NA
Annie Andrews,SC,1,Democrat,2022,-0.634465468,H2SC01127,NA
Katie Arrington,SC,1,Republican,2022,0.915306384,H2SC01150,NA
Lynz Piper-Loomis,SC,1,Republican,2022,1.440190689,H2SC01077,NA
Nancy Mace,SC,1,Republican,2022,0.884506851,H0SC01394,M000194
Phil Black,SC,2,Democrat,2018,0.4460763,H8SC02098,NA
Sean Carrigan,SC,2,Democrat,2018,-0.447714806,H8SC02106,NA
Annabelle Robertson,SC,2,Democrat,2018,-0.870486524,H8SC02114,NA
Joe Wilson,SC,2,Republican,2018,NA,H2SC02059,W000795
Michael Bishop,SC,2,Republican,2020,NA,H0SC02095,NA
Adair Ford Boroughs,SC,2,Democrat,2020,-0.73445463,H0SC02061,NA
Joe Wilson,SC,2,Republican,2020,1.071736116,H2SC02059,W000795
Joe Wilson,SC,2,Republican,2022,1.000441849,H2SC02059,W000795
Judd Larkins,SC,2,Democrat,2022,-0.45424572,H2SC02182,NA
Hosea Cleveland,SC,3,Democrat,2018,0.138264709,H4SC03111,NA
Jeff Duncan,SC,3,Republican,2018,NA,H0SC03077,D000615
Mary Geren,SC,3,Democrat,2018,-1.409499028,H8SC03070,NA
Hosea Cleveland,SC,3,Democrat,2020,-0.80298593,H4SC03111,NA
Jeff Duncan,SC,3,Republican,2020,1.819521054,H0SC03077,D000615
Mark Dilling Welch,SC,3,Democrat,2020,-0.36055149,H0SC03150,NA
Jeff Duncan,SC,3,Republican,2022,1.932917153,H0SC03077,D000615
Dan Albert,SC,4,Republican,2018,0.457302764,H8SC04425,NA
Barry Bell,SC,4,Republican,2018,NA,H8SC04292,NA
Lee Bright,SC,4,Republican,2018,1.634718451,H8SC04342,NA
Brandon Brown,SC,4,Democrat,2018,NA,H8SC04300,NA
Stephen Brown,SC,4,Republican,2018,1.255217894,H8SC04375,NA
Mark Burns,SC,4,Republican,2018,0.452314775,H8SC04284,NA
JT Davis,SC,4,Democrat,2018,0.200533956,H8SC04201,NA
James Epley,SC,4,Republican,2018,1.250495054,H8SC04409,NA
Eric Graben,SC,4,Democrat,2018,-0.264101346,H8SC04359,NA
Dan Hamilton,SC,4,Republican,2018,0.587685275,H8SC04276,NA
Josh Kimbrell,SC,4,Republican,2018,1.316943702,H8SC04318,NA
Will Morin,SC,4,Democrat,2018,NA,H8SC04235,NA
John Mosser,SC,4,Republican,2018,1.269807317,H8SC04383,NA
Shannon Pierce,SC,4,Republican,2018,NA,H8SC04326,NA
Justin Sanders,SC,4,Republican,2018,0.554669127,H8SC04367,NA
Claude Schmid,SC,4,Republican,2018,NA,H8SC04417,NA
William Timmons,SC,4,Republican,2018,1.836284349,H8SC04250,T000480
Doris Lee Turner,SC,4,Democrat,2018,-0.654803439,H8SC04227,NA
Kimberly Nelson,SC,4,Democrat,2020,-1.345655421,H0SC04281,NA
William Timmons,SC,4,Republican,2020,1.965760265,H8SC04250,T000480
George Abuzeid,SC,4,Republican,2022,0.964115893,H2SC04154,NA
Ken Hill,SC,4,Democrat,2022,NA,H2SC04170,NA
Mark Burns,SC,4,Republican,2022,NA,H2SC04147,NA
Michael LaPierre,SC,4,Republican,2022,0.524203313,H2SC04139,NA
William Timmons,SC,4,Republican,2022,1.958632073,H8SC04250,T000480
Mark Ali,SC,5,Democrat,2018,-0.837688264,H8SC05240,NA
Steve Lough,SC,5,Democrat,2018,-0.773414956,H8SC05257,NA
Sidney Moore,SC,5,Democrat,2018,NA,H8SC05265,NA
Ralph Norman,SC,5,Republican,2018,1.249017082,H8SC05158,N000190
Archie Parnell,SC,5,Democrat,2018,-0.757318888,H8SC05174,NA
MoeÊ Brown,SC,5,Democrat,2020,-0.77301098,NA,NA
Sidney Moore,SC,5,Democrat,2020,NA,H8SC05265,NA
Ralph Norman,SC,5,Republican,2020,1.426020932,H8SC05158,N000190
Evangeline Hundley,SC,5,Democrat,2022,NA,H2SC05102,NA
Kevin Eckert,SC,5,Democrat,2022,-1.349322003,H2SC05094,NA
Ralph Norman,SC,5,Republican,2022,1.336273899,H8SC05158,N000190
Jim Clyburn,SC,6,Democrat,2018,-0.426182335,H2SC02042,C000537
Gerhard Gressmann,SC,6,Republican,2018,NA,H8SC06107,NA
Jim Clyburn,SC,6,Democrat,2020,-0.40141311,H2SC02042,C000537
John McCollum,SC,6,Republican,2020,NA,H0SC06237,NA
Duke Buckner,SC,6,Republican,2022,NA,H2SC06142,NA
Gregg Dixon,SC,6,Democrat,2022,-0.767461922,H2SC06134,NA
Jim Clyburn,SC,6,Democrat,2022,-0.381223347,H2SC02042,C000537
Michael Addison,SC,6,Democrat,2022,NA,H2SC06126,NA
Sonia Morris,SC,6,Republican,2022,NA,H2SC06159,NA
Bruce Fischer,SC,7,Democrat,2018,NA,H8SC07048,NA
Larry Hammond,SC,7,Republican,2018,0.078195651,H8SC07071,NA
Bill Hopkins,SC,7,Democrat,2018,-0.07153167,H8SC07055,NA
Mal Hyman,SC,7,Democrat,2018,-0.82938089,H6SC07018,NA
Tom Rice,SC,7,Republican,2018,0.915401245,H2SC07066,R000597
Robert Williams,SC,7,Democrat,2018,NA,H8SC07063,NA
Tom Rice,SC,7,Republican,2020,0.931469077,H2SC07066,R000597
Melissa Ward Watson,SC,7,Democrat,2020,-0.541826959,H0SC07029,NA
Robert Williams,SC,7,Democrat,2020,-0.651836822,H8SC07063,NA
William Williams,SC,7,Democrat,2020,-0.342986961,H0SC07037,NA
Barbara Arthur,SC,7,Republican,2022,1.125378322,H2SC07231,NA
Daryl Scott,SC,7,Democrat,2022,NA,H2SC07314,NA
Garrett Barton,SC,7,Republican,2022,0.573795568,H2SC07298,NA
Ken Richardson,SC,7,Republican,2022,1.457610567,H2SC07173,NA
Mark McBride,SC,7,Republican,2022,0.830385867,H2SC07272,NA
Russell Fry,SC,7,Republican,2022,1.145270796,H2SC07280,F000478
Spencer Morris,SC,7,Republican,2022,0.696930694,H2SC07306,NA
Tom Rice,SC,7,Republican,2022,0.876284671,H2SC07066,NA
Timothy Bjorkman,SD,1,Democrat,2018,-0.138338453,H8SD01097,NA
Dusty Johnson,SD,1,Republican,2018,0.820287676,H8SD01055,J000301
Shantel Krebs,SD,1,Republican,2018,1.547062766,H8SD01063,NA
Neal Tapio,SD,1,Republican,2018,1.237741519,H8SD00024,NA
Dusty Johnson,SD,1,Republican,2020,NA,H8SD01055,J000301
Liz Marty May,SD,1,Republican,2020,0.92913365,H0SD01094,NA
Dusty Johnson,SD,1,Republican,2022,NA,H8SD01055,J000301
Taffy Howard,SD,1,Republican,2022,1.200766182,H2SD01041,NA
Mickie Banyas,TN,1,Republican,2018,NA,H8TN01095,NA
James Brooks,TN,1,Republican,2018,NA,NA,NA
Todd McKinley,TN,1,Republican,2018,0.954403473,H8TN01087,NA
Marty Olsen,TN,1,Democrat,2018,-0.033177335,H8TN01079,NA
Phil Roe,TN,1,Republican,2018,1.472572574,H6TN01388,R000582
Jay Adkins,TN,1,Republican,2020,0.782339312,H0TN01183,NA
William Philip Arlinghaus,TN,1,Republican,2020,1.350143336,H0TN01126,NA
Richard Baker,TN,1,Republican,2020,NA,H0TN01191,NA
Chance L. Cansler,TN,1,Republican,2020,NA,H0TN01209,NA
John Clark,TN,1,Republican,2020,0.687258644,H0TN01076,NA
Dewey Rusty Edward II Crowe,TN,1,Republican,2020,1.279544268,H0TN01084,NA
Steve Matson Darden,TN,1,Republican,2020,NA,H0TN01100,NA
Chad James Fleenor,TN,1,Republican,2020,NA,H0TN01167,NA
Robert D. Franklin,TN,1,Republican,2020,NA,H4TN01144,NA
Josh Gapp,TN,1,Republican,2020,1.271628154,H0TN01142,NA
Diana Lynn Harshbarger,TN,1,Republican,2020,1.3830303,H0TN01118,H001086
David B. Hawk,TN,1,Republican,2020,0.284882133,H0TN01159,NA
Timothy Aaron Hill,TN,1,Republican,2020,1.532425102,H0TN01134,NA
Chuck Miller,TN,1,Republican,2020,NA,H0TN01217,NA
Carter M. Quillen,TN,1,Republican,2020,0.280443583,H0TN01175,NA
Christopher Lee Rowe,TN,1,Democrat,2020,-0.96488509,H0TN01043,NA
Larry Joseph Smith,TN,1,Democrat,2020,NA,H0TN01050,NA
Blair Nicole Walsingham,TN,1,Democrat,2020,-0.619460971,H0TN01092,NA
Nichole Williams,TN,1,Republican,2020,NA,H0TN01225,NA
Cameron Parsons,TN,1,Democrat,2022,0.248219793,H2TN01106,NA
Diana Lynn Harshbarger,TN,1,Republican,2022,1.347758642,H0TN01118,H001086
Tim Burchett,TN,2,Republican,2018,1.390779661,H8TN02119,B001309
Jason Emert,TN,2,Republican,2018,1.311993038,H8TN02200,NA
Hank Hamblin,TN,2,Republican,2018,0.970157728,H8TN02242,NA
Renee Hoyos,TN,2,Democrat,2018,-0.671636333,H8TN02176,NA
Jimmy Matlock,TN,2,Republican,2018,1.520037301,H8TN02127,NA
Sarah Nickloes,TN,2,Republican,2018,1.312386906,H8TN02218,NA
Vito Sagliano,TN,2,Republican,2018,0.256472013,H8TN02168,NA
Joseph Schenkenfelder,TN,2,Democrat,2018,NA,H8TN02259,NA
C. David Stansberry,TN,2,Republican,2018,0.393021148,H8TN02226,NA
Joshua Williams,TN,2,Democrat,2018,-0.530724145,H8TN02101,NA
Chance C. Brown,TN,2,Democrat,2020,-1.396849975,H0TN02090,NA
Tim Burchett,TN,2,Republican,2020,1.430391286,H8TN02119,B001309
Renee Hoyos,TN,2,Democrat,2020,-0.941034174,H8TN02176,NA
Mark Harmon,TN,2,Democrat,2022,-1.278676103,H2TN02120,NA
Tim Burchett,TN,2,Republican,2022,1.438890427,H8TN02119,B001309
Chuck Fleischmann,TN,3,Republican,2018,1.099343582,H0TN03254,F000459
Jeremy Massengale,TN,3,Republican,2018,1.448046143,H8TN03216,NA
Danielle Mitchell,TN,3,Democrat,2018,-0.726532957,H8TN03208,NA
Harold Shevlin,TN,3,Republican,2018,NA,NA,NA
William Spurlock,TN,3,Republican,2018,0.205689385,NA,NA
Chuck Fleischmann,TN,3,Republican,2020,1.548552291,H0TN03254,F000459
Meg Gorman,TN,3,Democrat,2020,-1.010439773,H0TN03452,NA
Chuck Fleischmann,TN,3,Republican,2022,1.513953995,H0TN03254,F000459
